"Data","Od","Do","Przedmiot","Grupa","Sala"
"26.02.2019","14:15","16:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 302"
"26.02.2019","16:15","18:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 302"
"27.02.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_222 A","WI WI1- 316"
"27.02.2019","14:15","16:00","Programowanie sieciowe","lato_S2_I_W_14","WI WI2- 100"
"28.02.2019","10:15","12:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 308"
"28.02.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 308"
"03.03.2019","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_W_3","WI WI1- 013"
"03.03.2019","15:10","16:45","Programowanie 2","N1_I_L_10 A","WI WI1- 303"
"03.03.2019","16:50","18:25","Programowanie 2","N1_I_L_10 B","WI WI1- 303"
"04.03.2019","08:15","10:00","Programowanie w językach skryptowych","BP1_PWJS_W_31","WI WI2- 126"
"04.03.2019","12:15","14:00","Programowanie w językach skryptowych","BP1_PWJS_L_31C","WI WI1- 315"
"05.03.2019","14:15","16:00","Programowanie sieciowe","lato_S2_I_L_14 A","WI WI1- 302"
"06.03.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_222 A","WI WI1- 316"
"06.03.2019","14:15","16:00","Programowanie w językach skryptowych","BP1_PWJS_L_31B","WI WI1- 316"
"07.03.2019","10:15","12:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 308"
"07.03.2019","12:15","14:00","Programowanie w językach skryptowych","BP1_PWJS_L_31A","WI WI1- 308"
"07.03.2019","14:15","16:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 308"
"10.03.2019","09:40","11:20","Programowanie 2","N1_I_L_10 A","WI WI1- 303"
"10.03.2019","11:25","13:00","Programowanie 2","N1_I_L_10 B","WI WI1- 303"
"10.03.2019","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_W_3","WI WI1- 013"
"13.03.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_222 A","WI WI1- 316"
"13.03.2019","14:15","16:00","Programowanie sieciowe","lato_S2_I_W_14","WI WI2- 100"
"14.03.2019","08:15","10:00","Historia informatyki","lato_HSPO1_Hi_W","WI WI2- 100"
"14.03.2019","10:15","12:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 308"
"14.03.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 308"
